cpu,memory,timestamp
315,9420.8,15:53:29
360,9420.8,15:53:29
360,9420.8,15:53:29
376.2,9420.8,15:53:29
390,9420.8,15:53:30
385,9420.8,15:53:30
385,9420.8,15:53:30
375,9420.8,15:53:30
380,9420.8,15:53:30
390,9420.8,15:53:31
390,9420.8,15:53:31
380,9420.8,15:53:31
385,9420.8,15:53:31
380,9420.8,15:53:31
380,9420.8,15:53:32
385,9420.8,15:53:32
355,9420.8,15:53:32
380,9420.8,15:53:32
380,9420.8,15:53:32
366.7,9420.8,15:53:33
375,9420.8,15:53:33
375,9420.8,15:53:33
370,9420.8,15:53:33
370,9420.8,15:53:33
355,9420.8,15:53:34
380,9420.8,15:53:34
385,9420.8,15:53:34
385,9420.8,15:53:34
380,9420.8,15:53:34
365,9420.8,15:53:35
350,9420.8,15:53:35
340,9420.8,15:53:35
375,9420.8,15:53:35
390,9420.8,15:53:35
390,9420.8,15:53:36
376.2,9420.8,15:53:36
390,9420.8,15:53:36
395,9420.8,15:53:36
330,9420.8,15:53:36
250,9420.8,15:53:37
365,9420.8,15:53:37
310,9420.8,15:53:37
300,9420.8,15:53:37
235,9420.8,15:53:37
165,9420.8,15:53:38
155,9420.8,15:53:38
150,9420.8,15:53:38
330,9420.8,15:53:38
340,9420.8,15:53:38
380,9420.8,15:53:39
350,9420.8,15:53:39
265,9420.8,15:53:39
19,9420.8,15:53:39
110,9420.8,15:53:39
375,9420.8,15:53:40
375,9420.8,15:53:40
385,9420.8,15:53:40
360,9420.8,15:53:40
250,9420.8,15:53:40
380,9420.8,15:53:41
385,9420.8,15:53:41
390,9420.8,15:53:41
375,9420.8,15:53:41
295,9420.8,15:53:41
205,9420.8,15:53:42
305,9420.8,15:53:42
305,9420.8,15:53:42
355,9420.8,15:53:42
357.1,9420.8,15:53:42
365,9420.8,15:53:43
135,9420.8,15:53:43
270,9420.8,15:53:43
350,9420.8,15:53:43
390,9420.8,15:53:43
380,9420.8,15:53:44
385,9420.8,15:53:44
370,9420.8,15:53:44
385,9420.8,15:53:44
380,9420.8,15:53:44
125,9420.8,15:53:52
304.8,9420.8,15:53:52
375,9420.8,15:53:52
375,9420.8,15:53:52
365,9420.8,15:53:52
375,9420.8,15:53:53
370,9420.8,15:53:53
385,9420.8,15:53:53
375,9420.8,15:53:53
371.4,9420.8,15:53:53
380,9420.8,15:53:54
375,9420.8,15:53:54
340,9420.8,15:53:54
375,9420.8,15:53:54
380,9420.8,15:53:54
370,9420.8,15:53:55
380,9420.8,15:53:55
365,9420.8,15:53:55
350,9420.8,15:53:55
170,9420.8,15:53:55
95,9420.8,15:53:56
361.9,9420.8,15:53:56
370,9420.8,15:53:56
365,9420.8,15:53:56
357.1,9420.8,15:53:56
380,9420.8,15:53:57
380,9420.8,15:53:57
375,9420.8,15:53:57
355,9420.8,15:53:57
300,9420.8,15:53:58
95,9420.8,15:53:58
315,9420.8,15:53:58
375,9420.8,15:53:58
370,9420.8,15:53:58
95,9420.8,15:53:59
30,9420.8,15:53:59
110,9420.8,15:53:59
295,9420.8,15:53:59
365,9420.8,15:53:59
328.6,9420.8,15:54:00
175,9420.8,15:54:00
40,9420.8,15:54:00
135,9420.8,15:54:00
170,9420.8,15:54:00
35,9420.8,15:54:01
65,9420.8,15:54:01
205,9420.8,15:54:01
20,9420.8,15:54:01
30,9420.8,15:54:01
161.9,9420.8,15:54:02
350,9420.8,15:54:02
360,9420.8,15:54:02
370,9420.8,15:54:02
350,9420.8,15:54:02
335,9420.8,15:54:03
260,9420.8,15:54:03
20,9420.8,15:54:03
130,9420.8,15:54:03
355,9420.8,15:54:03
350,9420.8,15:54:04
225,9420.8,15:54:04
20,9420.8,15:54:04
20,9420.8,15:54:04
175,9420.8,15:54:04
390,9420.8,15:54:05
371.4,9420.8,15:54:05
380,9420.8,15:54:05
380,9420.8,15:54:05
385,9420.8,15:54:05
390,9420.8,15:54:06
365,9420.8,15:54:06
205,9420.8,15:54:06
110,9420.8,15:54:06
120,9420.8,15:54:06
140,9420.8,15:54:07
130,9420.8,15:54:07
120,9420.8,15:54:07
120,9420.8,15:54:07
130,9420.8,15:54:07
120,9420.8,15:54:08
115,9420.8,15:54:08
109.5,9420.8,15:54:08
120,9420.8,15:54:08
115,9420.8,15:54:08
115,9420.8,15:54:09
120,9420.8,15:54:09
120,9420.8,15:54:09
110,9420.8,15:54:09
130,9420.8,15:54:09
155,9420.8,15:54:10
135,9420.8,15:54:10
120,9420.8,15:54:10
120,9420.8,15:54:10
160,9420.8,15:54:10
160,9420.8,15:54:11
130,9420.8,15:54:11
119,9420.8,15:54:11
140,9420.8,15:54:11
370,9420.8,15:54:11
380,9420.8,15:54:12
390.5,9420.8,15:54:12
365,9420.8,15:54:12
375,9420.8,15:54:12
370,9420.8,15:54:12
370,9420.8,15:54:13
370,9420.8,15:54:13
385,9420.8,15:54:13
357.1,9420.8,15:54:13
355,9420.8,15:54:13
340,9420.8,15:54:14
180,9420.8,15:54:14
190,9420.8,15:54:14
170,9420.8,15:54:14
300,9420.8,15:54:14
380,9420.8,15:54:15
355,9420.8,15:54:15
305,9420.8,15:54:15
320,9420.8,15:54:15
280,9420.8,15:54:15
345,9420.8,15:54:16
355,9420.8,15:54:16
330,9420.8,15:54:16
309.5,9420.8,15:54:16
350,9420.8,15:54:16
380,9420.8,15:54:17
